,filename,status,lam,num_eq,loss,MRSE_train,MRSE_test
0,0000,init,0.0,20,0.0014868516659768895,0.0014868516659768895,0.013841159518061185
0,0001,refine,0.0,19,0.0014933015601791373,0.0014933015601791373,0.013574531546390267
0,0002,accept,1e-06,18,0.0015294708819136404,0.0014915496929383597,0.013942332372111762
0,0003,refine,1e-06,18,0.0015298945574470585,0.001491691329578356,0.013931751569359158
0,0004,accept,2e-06,17,0.0015681867650072085,0.001491700656511423,0.013527639275448991
0,0005,refine,2e-06,17,0.001566367855161045,0.0014905206753677066,0.01361842774456147
0,0006,accept,4e-06,17,0.0016463951876775644,0.0014940451146798247,0.013658803758339328
0,0007,accept,8e-06,17,0.0017919773939028517,0.0014915817520795823,0.013947495920271221
0,0008,accept,1.6e-05,17,0.002088118594042364,0.0014911438465179897,0.013426600325890966
0,0009,accept,3.2e-05,12,0.002383652738989343,0.0015109032495193614,0.014594030432204164
0,0010,refine,3.2e-05,12,0.0023862020980982123,0.001503109595602955,0.014544336351226286
0,0011,accept,6.4e-05,12,0.0032384949778697194,0.0015354773408282354,0.015202829062959583
0,0012,accept,0.000128,11,0.004810550183126835,0.0016327695371100006,0.01767126817411765
0,0013,refine,0.000128,11,0.004912592401933189,0.001537333976022922,0.013927966443377737
0,0014,accept,0.000256,10,0.007304464863536052,0.0020872489350600544,0.02043861418722995
0,0015,refine,0.000256,10,0.0073997127748276015,0.001962738046492285,0.01714110668676294
0,0016,accept,0.000512,10,0.012422205699985605,0.0023516496737555088,0.024337907936478394
0,0017,accept,0.001024,10,0.022237180049197648,0.0031282746690634213,0.030994184813526008
0,0018,accept,0.002048,8,0.03161138269837895,0.0072823535723254675,0.05411551299443611
0,0019,refine,0.002048,8,0.03396644865293131,0.006594915305640625,0.05744416729429545
0,0020,accept,0.004096,8,0.0555908112866565,0.008264470727059221,0.052161996978274075
0,0021,reject,0.008192,5,0.09589698390725875,0.0332668998113283,0.06826504596581423
0,0022,accept,0.006144,7,0.0789997042464762,0.009391158709177415,0.051095299340762165
0,0023,refine,0.006144,7,0.0837695625090242,0.006782169461174721,0.05836018290017436
0,0024,accept,0.014336,6,0.1645055491061502,0.02230074236834912,0.039519115574337724
0,0025,refine,0.014336,6,0.20908455112738514,0.012331339603923368,0.04023955015054713
0,0026,finish,0.030719999999999997,5,0.26253862013938395,0.03998448860339463,0.07170179692989109
0,0027,refine,0.030719999999999997,5,0.30206706913914644,0.030877579655422194,0.07373775685985581
